ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,65.9,0.5,84,65.4
TX-003,Andrews County,Texas,63.3,1.3,107,61.9
TX-005,Angelina County,Texas,67.6,1.5,116,66.1
TX-007,Aransas County,Texas,72.7,2.3,122,70.3
TX-009,Archer County,Texas,64.1,0.6,86,63.5
TX-011,Armstrong County,Texas,60.1,2.2,116,57.9
TX-013,Atascosa County,Texas,70.8,1,99,69.8
TX-015,Austin County,Texas,69.9,1.9,115,68
TX-017,Bailey County,Texas,58.7,1.6,106,57.1
TX-019,Bandera County,Texas,67.2,1,100,66.1
TX-021,Bastrop County,Texas,68.9,1.4,107,67.4
TX-023,Baylor County,Texas,64.3,0.9,95,63.4
TX-025,Bee County,Texas,71.5,1.2,101,70.3
TX-027,Bell County,Texas,67,1.2,103,65.7
TX-029,Bexar County,Texas,69.4,0.9,96,68.5
TX-031,Blanco County,Texas,66.9,0.8,93,66.1
TX-033,Borden County,Texas,63.2,0.4,76,62.9
TX-035,Bosque County,Texas,66.3,0.9,100,65.4
TX-037,Bowie County,Texas,64.5,1.4,112,63.1
TX-039,Brazoria County,Texas,71.3,2.3,120,68.9
TX-041,Brazos County,Texas,68.4,1.4,112,67
TX-043,Brewster County,Texas,67,2.4,122,64.6
TX-045,Briscoe County,Texas,61.2,1.8,115,59.3
TX-047,Brooks County,Texas,74,1.8,111,72.2
TX-049,Brown County,Texas,65.7,1.3,105,64.4
TX-051,Burleson County,Texas,68.5,1.5,112,67
TX-053,Burnet County,Texas,66.6,0.6,83,66
TX-055,Caldwell County,Texas,69.5,1.7,111,67.8
TX-057,Calhoun County,Texas,71.9,2.2,119,69.7
TX-059,Callahan County,Texas,64.2,0.5,88,63.7
TX-061,Cameron County,Texas,75.3,1.6,116,73.7
TX-063,Camp County,Texas,64.6,0.7,92,63.9
TX-065,Carson County,Texas,58.9,2.1,115,56.8
TX-067,Cass County,Texas,64.7,0.7,92,64
TX-069,Castro County,Texas,58.1,1.5,111,56.7
TX-071,Chambers County,Texas,70.1,1.8,116,68.2
TX-073,Cherokee County,Texas,66.1,0.7,90,65.4
TX-075,Childress County,Texas,62.9,1.6,107,61.3
TX-077,Clay County,Texas,63.8,0.4,79,63.4
TX-079,Cochran County,Texas,59.5,1.5,110,58
